customer_id	customer_name	customer_city	customer_state	customer_zipcode
11039	Mary Torres	Caguas	PR	725
5623	Jose Haley	Columbus	OH	43207
5829	Mary Smith	Houston	TX	77015
6336	Richard Maddox	Caguas	PR	725
1708	Margaret Booth	Arlington	TX	76010
10227	Mary Henderson	Caguas	PR	725
839	Lisa Walker	Caguas	PR	725
7604	Jonathan Hill	Phoenix	AZ	85040
6485	Carolyn Sheppard	Pompano Beach	FL	33063
4737	Mary Mendoza	Caguas	PR	725
5973	Michael Smith	Caguas	PR	725
9205	James Holmes	Hilliard	OH	43026
138	Mary Dawson	Caguas	PR	725
371	Adam Marquez	San Antonio	TX	78223
9285	Gloria Smith	Caguas	PR	725
1209	Mary Webb	San Marcos	TX	78666
3021	Nancy Alvarado	Flushing	NY	11354
3354	Russell Flores	Caguas	PR	725
11684	Denise Smith	Rego Park	NY	11374
11144	Jose Dickerson	Mesa	AZ	85201
5252	Mary Smith	Caguas	PR	725
8688	Michelle Rose	Eagle Pass	TX	78852
8900	Russell Peterson	Greeley	CO	80631
5577	Mary Smith	Modesto	CA	95350
11161	Mary Pennington	Caguas	PR	725
4494	Mary Smith	Orange Park	FL	32073
7565	Jean Donovan	Las Vegas	NV	89123
11218	Louis Novak	Murfreesboro	TN	37130
10124	Mary Santos	Brooklyn	NY	11229
6052	Mary Harding	Caguas	PR	725
9756	Mary White	Dallas	TX	75228
5748	Shawn Mann	Caguas	PR	725
11748	James Smith	Caguas	PR	725
3852	Roy Potts	Orlando	FL	32822
668	Phillip Lewis	Peoria	AZ	85345
1236	Virginia Robertson	Chapel Hill	NC	27514
6991	Mary Smith	Caguas	PR	725
6941	Jeffrey Palmer	Caguas	PR	725
12425	Mary Smith	Caguas	PR	725
5013	Mary Peters	Reynoldsburg	OH	43068
759	Donna Smith	Lawton	OK	73505
8829	Charles Smith	Woodside	NY	11377
9359	Nancy Campos	Beloit	WI	53511
6252	Kevin Smith	Carrollton	TX	75006
9510	Steven Wright	Caguas	PR	725
1745	Mary Smith	Rowland Heights	CA	91748
5093	Sara Rice	Caguas	PR	725
11151	Harold Walker	Caguas	PR	725
12431	Mary Rios	Kaneohe	HI	96744
8582	Edward Smith	Houston	TX	77088
11444	Kathleen Patrick	San Diego	CA	92109
6087	Evelyn Smith	Norcross	GA	30093
9208	John Gillespie	Hempstead	NY	11550
10937	Mary Smith	Phoenix	AZ	85029
900	George Smith	Holland	MI	49423
4311	Albert Collins	Caguas	PR	725
10485	Mary Smith	Caguas	PR	725
9552	Richard Wilkerson	Las Vegas	NV	89110
7440	James French	Caguas	PR	725
5619	Mary Smith	Potomac	MD	20854
1326	Mary Edwards	Caguas	PR	725
8364	Michael Smith	Brooklyn	NY	11238
5120	Mary Smith	Caguas	PR	725
6309	Cynthia Smith	Carlisle	PA	17013
951	Mary Young	Caguas	PR	725
8951	Mary Baker	Caguas	PR	725
1662	George Smith	Bronx	NY	10460
6631	Mary Morrow	Catonsville	MD	21228
4717	Mary Sanders	Buffalo	NY	14221
9643	Olivia Smith	Caguas	PR	725
434	Michael Torres	Caguas	PR	725
9818	Mary Avila	Caguas	PR	725
8846	Thomas Smith	Indio	CA	92201
3135	Helen Ward	Houston	TX	77093
3589	Mary Smith	Caguas	PR	725
